TICK=00085 MPC=086 READ_LEFT        PC=0x00000044 SP=0x00007FF8 FLAGS=G   R0=513 R1=101 R2=0 R3=0 R4=0 R5=0 :: READ_LEFT: CMP R1, #0
TICK=00086 MPC=087 READ_RIGHT       PC=0x00000044 SP=0x00007FF8 FLAGS=G   R0=513 R1=101 R2=0 R3=0 R4=0 R5=0 :: READ_RIGHT: CMP R1, #0
TICK=00087 MPC=088 ALU_SUB          PC=0x00000044 SP=0x00007FF8 FLAGS=G   R0=513 R1=101 R2=0 R3=0 R4=0 R5=0 :: ALU_SUB: CMP R1, #0
TICK=00088 MPC=089 UPDATE_FLAGS     PC=0x00000044 SP=0x00007FF8 FLAGS=G   R0=513 R1=101 R2=0 R3=0 R4=0 R5=0 :: UPDATE_FLAGS: CMP R1, #0
TICK=00089 MPC=090 COMMIT           PC=0x00000044 SP=0x00007FF8 FLAGS=G   R0=513 R1=101 R2=0 R3=0 R4=0 R5=0 :: CMP R1, #0
TICK=00090 MPC=091 FETCH_HEADER     PC=0x00000048 SP=0x00007FF8 FLAGS=G   R0=513 R1=101 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000044 header=0x0000010A operands=1
TICK=00091 MPC=092 FETCH_OPERAND    PC=0x0000004C SP=0x00007FF8 FLAGS=G   R0=513 R1=101 R2=0 R3=0 R4=0 R5=0 :: operand[1]=0x00006C01
TICK=00092 MPC=093 DECODE           PC=0x0000004C SP=0x00007FF8 FLAGS=G   R0=513 R1=101 R2=0 R3=0 R4=0 R5=0 :: JZ #108 ; super=blocked:control-or-io
TICK=00093 MPC=094 READ_TARGET      PC=0x0000004C SP=0x00007FF8 FLAGS=G   R0=513 R1=101 R2=0 R3=0 R4=0 R5=0 :: READ_TARGET: JZ #108
TICK=00094 MPC=095 EVALUATE_BRANCH  PC=0x0000004C SP=0x00007FF8 FLAGS=G   R0=513 R1=101 R2=0 R3=0 R4=0 R5=0 :: EVALUATE_BRANCH: JZ #108
TICK=00095 MPC=096 COMMIT           PC=0x0000004C SP=0x00007FF8 FLAGS=G   R0=513 R1=101 R2=0 R3=0 R4=0 R5=0 :: JZ #108
TICK=00096 MPC=097 FETCH_HEADER     PC=0x00000050 SP=0x00007FF8 FLAGS=G   R0=513 R1=101 R2=0 R3=0 R4=0 R5=0 :: addr=0x0000004C header=0x00000215 operands=2
TICK=00097 MPC=098 FETCH_OPERAND    PC=0x00000054 SP=0x00007FF8 FLAGS=G   R0=513 R1=101 R2=0 R3=0 R4=0 R5=0 :: operand[1]=0x00FFF802
TICK=00098 MPC=099 FETCH_OPERAND    PC=0x00000058 SP=0x00007FF8 FLAGS=G   R0=513 R1=101 R2=0 R3=0 R4=0 R5=0 :: operand[2]=0x00000100
TICK=00099 MPC=100 DECODE           PC=0x00000058 SP=0x00007FF8 FLAGS=G   R0=513 R1=101 R2=0 R3=0 R4=0 R5=0 :: STOREB [0xFFF8], R1 ; super=blocked:control-or-io
TICK=00100 MPC=101 READ_BYTE_VALUE  PC=0x00000058 SP=0x00007FF8 FLAGS=G   R0=513 R1=101 R2=0 R3=0 R4=0 R5=0 :: READ_BYTE_VALUE: STOREB [0xFFF8], R1
TICK=00101 MPC=102 WRITE_BYTE_DESTINATION PC=0x00000058 SP=0x00007FF8 FLAGS=G   R0=513 R1=101 R2=0 R3=0 R4=0 R5=0 :: WRITE_BYTE_DESTINATION: STOREB [0xFFF8], R1
TICK=00102 MPC=103 COMMIT           PC=0x00000058 SP=0x00007FF8 FLAGS=G   R0=513 R1=101 R2=0 R3=0 R4=0 R5=0 :: STOREB [0xFFF8], R1
TICK=00103 MPC=104 FETCH_HEADER     PC=0x0000005C SP=0x00007FF8 FLAGS=G   R0=513 R1=101 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000058 header=0x00000203 operands=2
TICK=00104 MPC=105 FETCH_OPERAND    PC=0x00000060 SP=0x00007FF8 FLAGS=G   R0=513 R1=101 R2=0 R3=0 R4=0 R5=0 :: operand[1]=0x00000000
TICK=00105 MPC=106 FETCH_OPERAND    PC=0x00000064 SP=0x00007FF8 FLAGS=G   R0=513 R1=101 R2=0 R3=0 R4=0 R5=0 :: operand[2]=0x00000101
TICK=00106 MPC=107 DECODE           PC=0x00000064 SP=0x00007FF8 FLAGS=G   R0=513 R1=101 R2=0 R3=0 R4=0 R5=0 :: ADD R0, #1 ; super=blocked:next-not-eligible
TICK=00107 MPC=108 READ_LEFT        PC=0x00000064 SP=0x00007FF8 FLAGS=G   R0=513 R1=101 R2=0 R3=0 R4=0 R5=0 :: READ_LEFT: ADD R0, #1
TICK=00108 MPC=109 READ_RIGHT       PC=0x00000064 SP=0x00007FF8 FLAGS=G   R0=513 R1=101 R2=0 R3=0 R4=0 R5=0 :: READ_RIGHT: ADD R0, #1
TICK=00109 MPC=110 ALU_ADD          PC=0x00000064 SP=0x00007FF8 FLAGS=G   R0=513 R1=101 R2=0 R3=0 R4=0 R5=0 :: ALU_ADD: ADD R0, #1
TICK=00110 MPC=111 WRITE_BACK       PC=0x00000064 SP=0x00007FF8 FLAGS=G   R0=513 R1=101 R2=0 R3=0 R4=0 R5=0 :: WRITE_BACK: ADD R0, #1
TICK=00111 MPC=112 UPDATE_FLAGS     PC=0x00000064 SP=0x00007FF8 FLAGS=G   R0=513 R1=101 R2=0 R3=0 R4=0 R5=0 :: UPDATE_FLAGS: ADD R0, #1
TICK=00112 MPC=113 COMMIT           PC=0x00000064 SP=0x00007FF8 FLAGS=G   R0=514 R1=101 R2=0 R3=0 R4=0 R5=0 :: ADD R0, #1
TICK=00113 MPC=114 FETCH_HEADER     PC=0x00000068 SP=0x00007FF8 FLAGS=G   R0=514 R1=101 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000064 header=0x00000109 operands=1
TICK=00114 MPC=115 FETCH_OPERAND    PC=0x0000006C SP=0x00007FF8 FLAGS=G   R0=514 R1=101 R2=0 R3=0 R4=0 R5=0 :: operand[1]=0x00002C01
TICK=00115 MPC=116 DECODE           PC=0x0000006C SP=0x00007FF8 FLAGS=G   R0=514 R1=101 R2=0 R3=0 R4=0 R5=0 :: JMP #44 ; super=blocked:control-or-io
TICK=00116 MPC=117 READ_TARGET      PC=0x0000006C SP=0x00007FF8 FLAGS=G   R0=514 R1=101 R2=0 R3=0 R4=0 R5=0 :: READ_TARGET: JMP #44
TICK=00117 MPC=118 EVALUATE_BRANCH  PC=0x0000006C SP=0x00007FF8 FLAGS=G   R0=514 R1=101 R2=0 R3=0 R4=0 R5=0 :: EVALUATE_BRANCH: JMP #44
TICK=00118 MPC=119 COMMIT           PC=0x0000002C SP=0x00007FF8 FLAGS=G   R0=514 R1=101 R2=0 R3=0 R4=0 R5=0 :: JMP #44
TICK=00119 MPC=120 FETCH_HEADER     PC=0x00000030 SP=0x00007FF8 FLAGS=G   R0=514 R1=101 R2=0 R3=0 R4=0 R5=0 :: addr=0x0000002C header=0x00000214 operands=2
TICK=00120 MPC=121 FETCH_OPERAND    PC=0x00000034 SP=0x00007FF8 FLAGS=G   R0=514 R1=101 R2=0 R3=0 R4=0 R5=0 :: operand[1]=0x00000100
TICK=00121 MPC=122 FETCH_OPERAND    PC=0x00000038 SP=0x00007FF8 FLAGS=G   R0=514 R1=101 R2=0 R3=0 R4=0 R5=0 :: operand[2]=0x00000003
TICK=00122 MPC=123 DECODE           PC=0x00000038 SP=0x00007FF8 FLAGS=G   R0=514 R1=101 R2=0 R3=0 R4=0 R5=0 :: LOADB R1, [R0] ; super=blocked:control-or-io
TICK=00123 MPC=124 READ_BYTE_SOURCE PC=0x00000038 SP=0x00007FF8 FLAGS=G   R0=514 R1=101 R2=0 R3=0 R4=0 R5=0 :: READ_BYTE_SOURCE: LOADB R1, [R0]
TICK=00124 MPC=125 WRITE_DESTINATION PC=0x00000038 SP=0x00007FF8 FLAGS=G   R0=514 R1=101 R2=0 R3=0 R4=0 R5=0 :: WRITE_DESTINATION: LOADB R1, [R0]
TICK=00125 MPC=126 COMMIT           PC=0x00000038 SP=0x00007FF8 FLAGS=G   R0=514 R1=108 R2=0 R3=0 R4=0 R5=0 :: LOADB R1, [R0]
TICK=00126 MPC=127 FETCH_HEADER     PC=0x0000003C SP=0x00007FF8 FLAGS=G   R0=514 R1=108 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000038 header=0x00000208 operands=2
TICK=00127 MPC=128 FETCH_OPERAND    PC=0x00000040 SP=0x00007FF8 FLAGS=G   R0=514 R1=108 R2=0 R3=0 R4=0 R5=0 :: operand[1]=0x00000100
TICK=00128 MPC=129 FETCH_OPERAND    PC=0x00000044 SP=0x00007FF8 FLAGS=G   R0=514 R1=108 R2=0 R3=0 R4=0 R5=0 :: operand[2]=0x00000001
TICK=00129 MPC=130 DECODE           PC=0x00000044 SP=0x00007FF8 FLAGS=G   R0=514 R1=108 R2=0 R3=0 R4=0 R5=0 :: CMP R1, #0 ; super=blocked:control-or-io
TICK=00130 MPC=131 READ_LEFT        PC=0x00000044 SP=0x00007FF8 FLAGS=G   R0=514 R1=108 R2=0 R3=0 R4=0 R5=0 :: READ_LEFT: CMP R1, #0
TICK=00131 MPC=132 READ_RIGHT       PC=0x00000044 SP=0x00007FF8 FLAGS=G   R0=514 R1=108 R2=0 R3=0 R4=0 R5=0 :: READ_RIGHT: CMP R1, #0
TICK=00132 MPC=133 ALU_SUB          PC=0x00000044 SP=0x00007FF8 FLAGS=G   R0=514 R1=108 R2=0 R3=0 R4=0 R5=0 :: ALU_SUB: CMP R1, #0
TICK=00133 MPC=134 UPDATE_FLAGS     PC=0x00000044 SP=0x00007FF8 FLAGS=G   R0=514 R1=108 R2=0 R3=0 R4=0 R5=0 :: UPDATE_FLAGS: CMP R1, #0
TICK=00134 MPC=135 COMMIT           PC=0x00000044 SP=0x00007FF8 FLAGS=G   R0=514 R1=108 R2=0 R3=0 R4=0 R5=0 :: CMP R1, #0
TICK=00135 MPC=136 FETCH_HEADER     PC=0x00000048 SP=0x00007FF8 FLAGS=G   R0=514 R1=108 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000044 header=0x0000010A operands=1
TICK=00136 MPC=137 FETCH_OPERAND    PC=0x0000004C SP=0x00007FF8 FLAGS=G   R0=514 R1=108 R2=0 R3=0 R4=0 R5=0 :: operand[1]=0x00006C01
TICK=00137 MPC=138 DECODE           PC=0x0000004C SP=0x00007FF8 FLAGS=G   R0=514 R1=108 R2=0 R3=0 R4=0 R5=0 :: JZ #108 ; super=blocked:control-or-io
TICK=00138 MPC=139 READ_TARGET      PC=0x0000004C SP=0x00007FF8 FLAGS=G   R0=514 R1=108 R2=0 R3=0 R4=0 R5=0 :: READ_TARGET: JZ #108
TICK=00139 MPC=140 EVALUATE_BRANCH  PC=0x0000004C SP=0x00007FF8 FLAGS=G   R0=514 R1=108 R2=0 R3=0 R4=0 R5=0 :: EVALUATE_BRANCH: JZ #108
TICK=00140 MPC=141 COMMIT           PC=0x0000004C SP=0x00007FF8 FLAGS=G   R0=514 R1=108 R2=0 R3=0 R4=0 R5=0 :: JZ #108
